API,Model,Commit 
to_float,Transformer,2124a2c56c1e986fee04d030d3054f015ce23517
to_int32,Transformer,dc3eaa67d22e4a0fe6cf4f0f92a62c4ad0b02c25
to_int32,Minst,10a33c8f3d2f9c355a15cfe9da0de046d3bb7a72
sparse_to_dense,CIFAR-10 TF2.0,173fe7cf535d4ec134b8620ea77fe3b1ff3223c1
parallel_interleave,XLNET TF2.0.0,091d0320da17a874d367d359759d68b83ae7056f
softmax_cross_entropy_with_logits,Transformer TF2.2.0,928165407b3abadc33b28a208ad0d181e2f5e843
max_pooling2d,RESNET TF1.13,b7041f7aabca9e3e0e8216d111fef22488f8ae0d
dense,RESNET TF1.13,0939b1216d3f81953dba85db86af63e7aa886cf8
batch_normalization,RESNET TF1.13,7967b704ea149ed27340b360fff62db582ff4e56
conv2d,RESNET TF1.13,5761e7f011a20ef93598b7f46975cf8d99bb2f82
map_and_batch,XLNET TF2.0.0,6694e131ba4d13a376bc59d445ee344537020cb9
py_func,Vision,3ccd004223cfbad589f666bc08b69abd6f911477
experimental_run_functions_eagerly,Resent 2.3.0,2f9f22ad1287c66c521f078c57261979dfe21957